"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Arunachal Pradesh","Anjaw","2023-10-07","2023","10","7.0019018955","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-08","2023","10","6.8727846191","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-09","2023","10","8.5729216845","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-10","2023","10","8.2124591528","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-11","2023","10","7.5880236209","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-12","2023","10","7.2679920069","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-13","2023","10","7.2441372773","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-14","2023","10","6.9979750552","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-15","2023","10","6.8551467031","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-16","2023","10","6.6943031169","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-17","2023","10","6.5418696046","NRSC VIC MODEL"
"Arunachal Pradesh","Anjaw","2023-10-18","2023","10","6.4042927408","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-01","2023","10","13.5815653558","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-07","2023","10","15.895131037","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-08","2023","10","15.523713458","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-09","2023","10","16.1483320196","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-10","2023","10","15.9647601023","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-11","2023","10","15.2677696062","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-12","2023","10","14.8143785541","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-13","2023","10","14.975618492","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-14","2023","10","14.4703969113","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-15","2023","10","14.0313629724","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-16","2023","10","13.6902619186","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-17","2023","10","13.4034115308","NRSC VIC MODEL"
"Arunachal Pradesh","Changlang","2023-10-18","2023","10","13.1539523512","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-01","2023","10","17.8394721869","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-07","2023","10","24.7416980076","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-08","2023","10","24.2614828802","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-09","2023","10","26.6488032392","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-10","2023","10","25.6526677168","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-11","2023","10","24.8961774656","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-12","2023","10","24.2449491107","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-13","2023","10","23.9099731334","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-14","2023","10","23.2203327664","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-15","2023","10","23.7311324234","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-16","2023","10","23.0321828594","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-17","2023","10","22.4083501268","NRSC VIC MODEL"
"Arunachal Pradesh","Dibang Valley","2023-10-18","2023","10","21.9208803357","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-01","2023","10","21.991198949","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-07","2023","10","23.9425439252","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-08","2023","10","24.6347100554","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-09","2023","10","24.4355989794","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-10","2023","10","24.3582384199","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-11","2023","10","23.8679557371","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-12","2023","10","23.9400054822","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-13","2023","10","23.2676598042","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-14","2023","10","22.6942876897","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-15","2023","10","22.2501736898","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-16","2023","10","21.9139198558","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-17","2023","10","21.5337135116","NRSC VIC MODEL"
"Arunachal Pradesh","East Kameng","2023-10-18","2023","10","21.1654965709","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-01","2023","10","17.8421742619","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-07","2023","10","23.1009299727","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-08","2023","10","23.8900957691","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-09","2023","10","24.7678901271","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-10","2023","10","24.1576706368","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-11","2023","10","22.9620000744","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-12","2023","10","22.3120717222","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-13","2023","10","22.0872988805","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-14","2023","10","21.1387947854","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-15","2023","10","21.1784735911","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-16","2023","10","20.3307992472","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-17","2023","10","19.7080966122","NRSC VIC MODEL"
"Arunachal Pradesh","East Siang","2023-10-18","2023","10","19.1903137095","NRSC VIC MODEL"
"Arunachal Pradesh","Kamle","2023-10-01","2023","10","17.1985184113","NRSC VIC MODEL"
"Arunachal Pradesh","Kamle","2023-10-07","2023","10","22.9450587538","NRSC VIC MODEL"
"Arunachal Pradesh","Kamle","2023-10-08","2023","10","22.56813065","NRSC VIC MODEL"
"Arunachal Pradesh","Kamle","2023-10-09","2023","10","22.0261373747","NRSC VIC MODEL"
"Arunachal Pradesh","Kamle","2023-10-10","2023","10","21.8816875389","NRSC VIC MODEL"
"Arunachal Pradesh","Kamle","2023-10-11","2023","10","21.2671505526","NRSC VIC MODEL"
"Arunachal Pradesh","Kamle","2023-10-12","2023","10","20.6263979128","NRSC VIC MODEL"
"Arunachal Pradesh","Kamle","2023-10-13","2023","10","20.1109259936","NRSC VIC MODEL"
